Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen1,URL_Imagen2,URL_Imagen3,URL_Imagen4,phone,email,URL
Coworking Social Madrid,Madrid,"C. de San Marcos, 39, Centro, 28004 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.421269,-3.6967299,/uploads/coworking/coworking_coworking_social_madrid_1.jpg,/uploads/coworking/coworking_coworking_social_madrid_2.jpg,/uploads/coworking/coworking_coworking_social_madrid_3.jpg,/uploads/coworking/coworking_coworking_social_madrid_4.jpg,621 15 15 35,,https://coworkingsocialmadrid.com/
Nomad Coworking,Madrid,"C. del Poeta Joan Maragall, 56, BAJO, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4625244,-3.6911947,/uploads/coworking/coworking_nomad_coworking_1.jpg,/uploads/coworking/coworking_nomad_coworking_2.jpg,/uploads/coworking/coworking_nomad_coworking_3.jpg,/uploads/coworking/coworking_nomad_coworking_4.jpg,649 01 41 75,,https://nomadcoworkingmadrid.com/
Area Coworking,Madrid,"C. de Tomás Bretón, 50-52, Arganzuela, 28045 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.3971345,-3.6917148,/uploads/coworking/coworking_area_coworking_1.jpg,/uploads/coworking/coworking_area_coworking_2.jpg,/uploads/coworking/coworking_area_coworking_3.jpg,/uploads/coworking/coworking_area_coworking_4.jpg,644 62 84 10,,http://www.areamadrid.es/
"Goya Smart Coworking, domiciliaciones madrid",Madrid,"Calle de Núñez de Balboa, 35A, Planta 5 Oficina A1, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4253867,-3.6828617,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_1.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_2.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_3.jpg,/uploads/coworking/coworking_goya_smart_coworking_domiciliaciones_madrid_4.jpg,653 28 87 64,,https://www.goyacoworking.es/
BlueChair. Coworking,Madrid,"C. de Jesús y María, 21, Centro, 28012 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.411143,-3.703356,/uploads/coworking/coworking_bluechair_coworking_1.jpg,/uploads/coworking/coworking_bluechair_coworking_2.jpg,/uploads/coworking/coworking_bluechair_coworking_3.jpg,/uploads/coworking/coworking_bluechair_coworking_4.jpg,634 99 11 80,,http://www.bluechair.es/
CLOONELA coworking,Madrid,"C. de Andorra, 22, Local, Hortaleza, 28043 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4588189,-3.6448916,/uploads/coworking/coworking_cloonela_coworking_1.jpg,/uploads/coworking/coworking_cloonela_coworking_2.jpg,/uploads/coworking/coworking_cloonela_coworking_3.jpg,/uploads/coworking/coworking_cloonela_coworking_4.jpg,630 07 29 62,,http://www.cloonela.com/
The Shed Coworking,Madrid,"C. de Hermosilla, 48, 1º Derecha, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.4261105,-3.6818737,/uploads/coworking/coworking_the_shed_coworking_1.jpg,/uploads/coworking/coworking_the_shed_coworking_2.jpg,/uploads/coworking/coworking_the_shed_coworking_3.jpg,/uploads/coworking/coworking_the_shed_coworking_4.jpg,910 82 10 72,,https://www.theshedcoworking.com/?utm_source=google&utm_medium=mybusiness
MODO Coworking,Madrid,"C. de Valderribas, 14, Retiro, 28007 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.40547919999999,-3.6780491,/uploads/coworking/coworking_modo_coworking_1.jpg,/uploads/coworking/coworking_modo_coworking_2.jpg,/uploads/coworking/coworking_modo_coworking_3.jpg,/uploads/coworking/coworking_modo_coworking_4.jpg,918 92 20 96,,https://www.modocoworking.com/
CaféOlé! Clubworking - Chamberí,Madrid,"C. de Fernández de los Ríos, 3, Chamberí, 28015 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.43492,-3.704909999999999,/uploads/coworking/coworking_caféolé_clubworking__chamberí_1.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_2.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_3.jpg,/uploads/coworking/coworking_caféolé_clubworking__chamberí_4.jpg,665 32 55 30,,https://cafeole-clubworking.com/
LIVINK Coworking Templo de Debod,Madrid,"C. de Irún, 23, PISO 1 o, Moncloa - Aravaca, 28008 ENTREPLANTA, Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.4226061,-3.7183333,/uploads/coworking/coworking_livink_coworking_templo_de_debod_1.jpg,/uploads/coworking/coworking_livink_coworking_templo_de_debod_2.jpg,/uploads/coworking/coworking_livink_coworking_templo_de_debod_3.jpg,/uploads/coworking/coworking_livink_coworking_templo_de_debod_4.jpg,644 55 96 61,,https://livink.es/
Coworking Madrid NEXT FLOOR,Madrid,"Torre Emperador Castellana, P.º de la Castellana, 259, Fuencarral-El Pardo, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.4790283,-3.6868401,/uploads/coworking/coworking_coworking_madrid_next_floor_1.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_2.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_3.jpg,/uploads/coworking/coworking_coworking_madrid_next_floor_4.jpg,676 75 30 57,,https://emperadorproperties.com/nextfloor/coworking-madrid-next-floor/
Cink Coworking,Madrid,"C. de Orense, 70, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4620269,-3.6936646,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,918 82 85 77,,https://cinkcoworking.es/
Coworking LOOM Huertas,Madrid,"C. de las Huertas, 11, Centro, 28012 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.414036,-3.700693,/uploads/coworking/coworking_coworking_loom_huertas_1.jpg,/uploads/coworking/coworking_coworking_loom_huertas_2.jpg,/uploads/coworking/coworking_coworking_loom_huertas_3.jpg,/uploads/coworking/coworking_coworking_loom_huertas_4.jpg,682 56 90 47,,https://loom.es/espacios-coworking/madrid/loom-huertas/?utm_medium=gmb_fuente&utm_source=loom_huertas&utm_campaign=
espacio 44 coworking,Madrid,"C. del Monte Esquinza, 44, Chamberí, 28010 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4311841,-3.6915698,/uploads/coworking/coworking_espacio_44_coworking_1.jpg,/uploads/coworking/coworking_espacio_44_coworking_2.jpg,/uploads/coworking/coworking_espacio_44_coworking_3.jpg,/uploads/coworking/coworking_espacio_44_coworking_4.jpg,658 71 72 34,,
Cink Coworking,Madrid,"P.º de la Castellana, 194, Chamartín, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.6,40.461669,-3.6890639,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,915 35 81 97,,https://cinkcoworking.es/
Weplan Space Coworking,Madrid,"C. de Cadarso, 8, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4220418,-3.7143776,/uploads/coworking/coworking_weplan_space_coworking_1.jpg,/uploads/coworking/coworking_weplan_space_coworking_2.jpg,/uploads/coworking/coworking_weplan_space_coworking_3.jpg,/uploads/coworking/coworking_weplan_space_coworking_4.jpg,615 96 96 98,,https://space.weplan.global/
NOMAD COWORKING,Madrid,"C. de Apolonio Morales, 3, Chamartín, 28036 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.46350839999999,-3.684142,/uploads/coworking/coworking_nomad_coworking_1.jpg,/uploads/coworking/coworking_nomad_coworking_2.jpg,/uploads/coworking/coworking_nomad_coworking_3.jpg,/uploads/coworking/coworking_nomad_coworking_4.jpg,628 32 35 08,,http://www.nomadcoworkingmadrid.com/
Oxygen Workspace,Madrid,"Calle de la Princesa, 31, planta, 2ª, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.428085,-3.714636999999999,/uploads/coworking/coworking_oxygen_workspace_1.jpg,/uploads/coworking/coworking_oxygen_workspace_2.jpg,/uploads/coworking/coworking_oxygen_workspace_3.jpg,/uploads/coworking/coworking_oxygen_workspace_4.jpg,604 92 64 70,,https://www.oxygenworkspace.com/
Coworking Madrid / Creactivos,Madrid,"C. de la Infanta Mercedes, 20, Tetuán, 28020 Madrid, España",Espacio coworking en Madrid. Valoración: 4.4,40.454832,-3.6986447,/uploads/coworking/coworking_coworking_madrid__creactivos_1.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_2.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_3.jpg,/uploads/coworking/coworking_coworking_madrid__creactivos_4.jpg,605 49 02 07,,
COWORKING LABASTIDA,Madrid,"C. de Labastida, 2, 2ª y 3ª Planta, Fuencarral-El Pardo, 28034 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4882494,-3.6896618,/uploads/coworking/coworking_coworking_labastida_1.jpg,/uploads/coworking/coworking_coworking_labastida_2.jpg,/uploads/coworking/coworking_coworking_labastida_3.jpg,/uploads/coworking/coworking_coworking_labastida_4.jpg,911 08 40 41,,https://www.labastidamadrid.com/
Espacio Distrito,Madrid,"C. de Cristóbal Bordiú, 22, Chamberí, 28003 Madrid, España",Espacio coworking en Madrid. Valoración: 4.8,40.4430753,-3.7014799,/uploads/coworking/coworking_espacio_distrito_1.jpg,/uploads/coworking/coworking_espacio_distrito_2.jpg,/uploads/coworking/coworking_espacio_distrito_3.jpg,/uploads/coworking/coworking_espacio_distrito_4.jpg,914 47 07 72,,http://www.espaciodistrito.com/
La Industrial,Madrid,"Calle de San Andrés, 8, Local, Centro, 28004 Madrid, España",Espacio coworking en Madrid. Valoración: 4.5,40.4260393,-3.7037424,/uploads/coworking/coworking_la_industrial_1.jpg,/uploads/coworking/coworking_la_industrial_2.jpg,/uploads/coworking/coworking_la_industrial_3.jpg,/uploads/coworking/coworking_la_industrial_4.jpg,914 46 38 19,,http://www.laindustrialservicios.com/
SD COWORKING,Madrid,"C. de Claudio Coello, 76, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4297799,-3.6858109,/uploads/coworking/coworking_sd_coworking_1.jpg,/uploads/coworking/coworking_sd_coworking_2.jpg,/uploads/coworking/coworking_sd_coworking_3.jpg,/uploads/coworking/coworking_sd_coworking_4.jpg,914 53 77 60,,https://sdcoworking.es/
Aticco Maria De Molina - Coworking en Madrid,Madrid,"Calle de María de Molina, 39, 3ª planta, Chamartín, 28006 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.437745,-3.6800324,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_1.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_2.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_3.jpg,/uploads/coworking/coworking_aticco_maria_de_molina__coworking_en_madrid_4.jpg,690 25 80 98,,https://aticco.com/aticco-maria-molina/
First workplaces: oficinas y espacios de coworking en Torre Europa,Madrid,"Torre Europa, P.º de la Castellana, 95, Planta 28 Edificio, Tetuán, 28046 Madrid, España",Espacio coworking en Madrid. Valoración: 4.7,40.45166700000001,-3.691667,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_1.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_2.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_3.jpg,/uploads/coworking/coworking_first_workplaces_oficinas_y_espacios_de_coworking_en_torre_europa_4.jpg,900 903 320,,https://www.firstworkplaces.com/torre-europa-first/?utm_source=GoogleMaps&utm_medium=MyBusiness
ILCOWORKING & LEGAL SERVICES,Madrid,"Gta. de Bilbao, 1, tercero derecha, Chamberí, 28010 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.429354,-3.7028094,/uploads/coworking/coworking_ilcoworking__legal_services_1.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_2.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_3.jpg,/uploads/coworking/coworking_ilcoworking__legal_services_4.jpg,621 12 74 59,,https://ilcoworking.es/
Coworking La Fábrica: espacio de oficinas,Madrid,"C. de Pradillo, 5, Chamartín, 28002 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.44883919999999,-3.6760372,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_1.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_2.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_3.jpg,/uploads/coworking/coworking_coworking_la_fábrica_espacio_de_oficinas_4.jpg,910 61 60 53,,https://coworkinglafabrica.es/coworking-principe-de-vergara/
Edificio TRIPLE,Madrid,"C. de Ferraz, 56, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4277778,-3.7185992,/uploads/coworking/coworking_edificio_triple_1.jpg,/uploads/coworking/coworking_edificio_triple_2.jpg,/uploads/coworking/coworking_edificio_triple_3.jpg,/uploads/coworking/coworking_edificio_triple_4.jpg,605 03 89 48,,https://tripleferraz.com/
EslabON Coworking,Madrid,"C. de Valle de Oro, 50, local posterior, Carabanchel, 28019 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.38691,-3.723964,/uploads/coworking/coworking_eslabon_coworking_1.jpg,/uploads/coworking/coworking_eslabon_coworking_2.jpg,/uploads/coworking/coworking_eslabon_coworking_3.jpg,/uploads/coworking/coworking_eslabon_coworking_4.jpg,912 96 08 57,,https://www.eslaboncoworking.es/
Cink Coworking,Madrid,"Av. de Manoteras, 24, Hortaleza, 28050 Madrid, España",Espacio coworking en Madrid. Valoración: 4.9,40.4865425,-3.6669427,/uploads/coworking/coworking_cink_coworking_1.jpg,/uploads/coworking/coworking_cink_coworking_2.jpg,/uploads/coworking/coworking_cink_coworking_3.jpg,/uploads/coworking/coworking_cink_coworking_4.jpg,911 30 92 21,,https://cinkcoworking.es/
Coworking LOOM Salamanca,Madrid,"Calle de Don Ramón de la Cruz, 38, Salamanca, 28001 Madrid, España",Espacio coworking en Madrid. Valoración: 4.5,40.4288935,-3.6818352,/uploads/coworking/coworking_coworking_loom_salamanca_1.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_2.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_3.jpg,/uploads/coworking/coworking_coworking_loom_salamanca_4.jpg,648 22 92 42,,https://loom.es/espacios-coworking/madrid/loom-salamanca?utm_medium=gmb_fuente&utm_source=loom_salamanca&utm_campaign=
Coworking La Guarida Creativa Debod,Madrid,"C. de Ferraz, 28, Moncloa - Aravaca, 28008 Madrid, España",Espacio coworking en Madrid. Valoración: 5,40.4254575,-3.7164145,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_1.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_2.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_3.jpg,/uploads/coworking/coworking_coworking_la_guarida_creativa_debod_4.jpg,916 46 31 63,,https://laguaridacreativa.es/
